"date","state","cases","deaths"
"2020-02-26","Massachusetts",1,0
"2020-02-26","Nebraska",13,0
"2020-02-26","Texas",10,0
"2020-02-26","Utah",1,0
"2020-02-26","Washington",5,0
"2020-02-26","Wisconsin",1,0
"2020-02-27","Arizona",1,0
"2020-02-27","California",26,0
"2020-02-27","Illinois",2,0
"2020-02-27","Massachusetts",1,0
"2020-02-27","Nebraska",13,0
"2020-02-27","Texas",10,0
"2020-02-27","Utah",1,0
"2020-02-27","Washington",5,0
"2020-02-27","Wisconsin",1,0
"2020-02-28","Arizona",1,0
"2020-02-28","California",27,0
"2020-02-28","Illinois",2,0
"2020-02-28","Massachusetts",1,0
"2020-02-28","Nebraska",13,0
"2020-02-28","Oregon",1,0
"2020-02-28","Texas",11,0
"2020-02-28","Utah",1,0
"2020-02-28","Washington",7,0
"2020-02-28","Wisconsin",1,0
"2020-02-29","Arizona",1,0
"2020-02-29","California",28,0
"2020-02-29","Illinois",3,0
"2020-02-29","Massachusetts",1,0
"2020-02-29","Nebraska",13,0
"2020-02-29","Oregon",1,0
"2020-02-29","Texas",11,0
"2020-02-29","Utah",1,0
"2020-02-29","Washington",10,1
"2020-02-29","Wisconsin",1,0
"2020-03-01","Arizona",1,0
"2020-03-01","California",33,0
"2020-03-01","Florida",2,0
"2020-03-01","Illinois",3,0
"2020-03-01","Massachusetts",1,0
"2020-03-01","Nebraska",13,0
"2020-03-01","New York",1,0
"2020-03-01","Oregon",2,0
"2020-03-01","Rhode Island",2,0
"2020-03-01","Texas",11,0
"2020-03-01","Utah",1,0
"2020-03-01","Washington",17,3
"2020-03-01","Wisconsin",1,0
"2020-03-02","Arizona",1,0
"2020-03-02","California",38,0
"2020-03-02","Florida",2,0
"2020-03-02","Georgia",2,0
"2020-03-02","Illinois",4,0
"2020-03-02","Massachusetts",2,0
"2020-03-02","Nebraska",13,0
"2020-03-02","New Hampshire",1,0
"2020-03-02","New York",1,0
"2020-03-02","Oregon",2,0
"2020-03-02","Rhode Island",2,0
"2020-03-02","Texas",11,0
"2020-03-02","Utah",1,0
"2020-03-02","Washington",23,6
"2020-03-02","Wisconsin",1,0
"2020-03-03","Arizona",2,0
"2020-03-03","California",45,0
"2020-03-03","Florida",3,0
"2020-03-03","Georgia",2,0
"2020-03-03","Illinois",4,0
"2020-03-03","Massachusetts",2,0
"2020-03-03","Nebraska",13,0
"2020-03-03","New Hampshire",2,0
"2020-03-03","New York",2,0
"2020-03-03","North Carolina",1,0
"2020-03-03","Oregon",2,0
"2020-03-03","Rhode Island",2,0
"2020-03-03","Texas",11,0
"2020-03-03","Utah",1,0
"2020-03-03","Washington",32,10
"2020-03-03","Wisconsin",1,0
"2020-03-04","Arizona",2,0
"2020-03-04","California",55,1
"2020-03-04","Florida",3,0
"2020-03-04","Georgia",2,0
"2020-03-04","Illinois",4,0
"2020-03-04","Massachusetts",2,0
"2020-03-04","Nebraska",13,0
"2020-03-04","New Hampshire",2,0
"2020-03-04","New Jersey",1,0
"2020-03-04","New York",11,0
"2020-03-04","North Carolina",1,0
"2020-03-04","Oregon",2,0
"2020-03-04","Rhode Island",2,0
"2020-03-04","Texas",12,0
"2020-03-04","Utah",1,0
"2020-03-04","Washington",47,11
"2020-03-04","Wisconsin",1,0
"2020-03-05","Arizona",2,0
"2020-03-05","California",67,1
"2020-03-05","Colorado",2,0
"2020-03-05","Florida",4,0
"2020-03-05","Georgia",2,0
"2020-03-05","Illinois",5,0
"2020-03-05","Maryland",3,0
"2020-03-05","Massachusetts",3,0
"2020-03-05","Nebraska",13,0
"2020-03-05","Nevada",2,0
"2020-03-05","New Hampshire",2,0
"2020-03-05","New Jersey",2,0
"2020-03-05","New York",22,0
"2020-03-05","North Carolina",1,0
"2020-03-05","Oregon",2,0
"2020-03-05","Rhode Island",2,0
"2020-03-05","Tennessee",1,0
"2020-03-05","Texas",16,0
"2020-03-05","Utah",1,0
"2020-03-05","Washington",75,11
"2020-03-05","Wisconsin",1,0
"2020-03-06","Arizona",3,0
"2020-03-06","California",81,1
"2020-03-06","Colorado",8,0
"2020-03-06","Florida",7,2
"2020-03-06","Georgia",3,0
"2020-03-06","Hawaii",1,0
"2020-03-06","Illinois",6,0
"2020-03-06","Indiana",1,0
"2020-03-06","Kentucky",1,0
"2020-03-06","Maryland",3,0
"2020-03-06","Massachusetts",8,0
"2020-03-06","Minnesota",1,0
"2020-03-06","Nebraska",14,0
"2020-03-06","Nevada",2,0
"2020-03-06","New Hampshire",2,0
"2020-03-06","New Jersey",4,0
"2020-03-06","New York",44,0
"2020-03-06","North Carolina",2,0
"2020-03-06","Oklahoma",1,0
"2020-03-06","Oregon",2,0
"2020-03-06","Pennsylvania",2,0
"2020-03-06","Rhode Island",3,0
"2020-03-06","South Carolina",2,0
"2020-03-06","Tennessee",1,0
"2020-03-06","Texas",19,0
"2020-03-06","Utah",3,0
"2020-03-06","Washington",86,12
"2020-03-06","Wisconsin",1,0
"2020-03-07","Arizona",5,0
"2020-03-07","California",100,1
"2020-03-07","Colorado",8,0
"2020-03-07","District of Columbia",1,0
"2020-03-07","Florida",12,2
"2020-03-07","Georgia",7,0
"2020-03-07","Hawaii",1,0
"2020-03-07","Illinois",6,0
"2020-03-07","Indiana",1,0
"2020-03-07","Kansas",1,0
"2020-03-07","Kentucky",1,0
"2020-03-07","Maryland",3,0
"2020-03-07","Massachusetts",13,0
"2020-03-07","Minnesota",1,0
"2020-03-07","Missouri",1,0
"2020-03-07","Nebraska",14,0
"2020-03-07","Nevada",2,0
"2020-03-07","New Hampshire",4,0
"2020-03-07","New Jersey",4,0
"2020-03-07","New York",89,0
"2020-03-07","North Carolina",2,0
"2020-03-07","Oklahoma",1,0
"2020-03-07","Oregon",6,0
"2020-03-07","Pennsylvania",4,0
"2020-03-07","Rhode Island",3,0
"2020-03-07","South Carolina",2,0
"2020-03-07","Tennessee",1,0
"2020-03-07","Texas",19,0
"2020-03-07","Utah",3,0
"2020-03-07","Vermont",1,0
"2020-03-07","Virginia",1,0
"2020-03-07","Washington",110,16
"2020-03-07","Wisconsin",1,0
"2020-03-08","Arizona",5,0
"2020-03-08","California",112,1
"2020-03-08","Colorado",8,0
"2020-03-08","Connecticut",1,0
"2020-03-08","District of Columbia",1,0
"2020-03-08","Florida",13,2
"2020-03-08","Georgia",11,0
"2020-03-08","Hawaii",2,0
"2020-03-08","Illinois",7,0
"2020-03-08","Indiana",2,0
"2020-03-08","Iowa",3,0
"2020-03-08","Kansas",1,0
"2020-03-08","Kentucky",4,0
"2020-03-08","Maryland",5,0
"2020-03-08","Massachusetts",28,0
"2020-03-08","Minnesota",2,0
"2020-03-08","Missouri",1,0
"2020-03-08","Nebraska",16,0
"2020-03-08","Nevada",4,0
"2020-03-08","New Hampshire",4,0
"2020-03-08","New Jersey",6,0
"2020-03-08","New York",106,0
"2020-03-08","North Carolina",2,0
"2020-03-08","Oklahoma",1,0
"2020-03-08","Oregon",13,0
"2020-03-08","Pennsylvania",6,0
"2020-03-08","Rhode Island",3,0
"2020-03-08","South Carolina",6,0
"2020-03-08","Tennessee",3,0
"2020-03-08","Texas",23,0
"2020-03-08","Utah",3,0
"2020-03-08","Vermont",1,0
"2020-03-08","Virginia",2,0
"2020-03-08","Washington",141,19
"2020-03-08","Wisconsin",1,0
"2020-03-09","Arizona",6,0
"2020-03-09","California",172,2
"2020-03-09","Colorado",12,0
"2020-03-09","Connecticut",2,0
"2020-03-09","District of Columbia",4,0
"2020-03-09","Florida",14,2
"2020-03-09","Georgia",17,0
"2020-03-09","Hawaii",2,0
"2020-03-09","Illinois",11,0
"2020-03-09","Indiana",4,0
"2020-03-09","Iowa",8,0
"2020-03-09","Kansas",1,0
"2020-03-09","Kentucky",5,0
"2020-03-09","Louisiana",1,0
"2020-03-09","Maryland",6,0
"2020-03-09","Massachusetts",41,0
"2020-03-09","Minnesota",2,0
"2020-03-09","Missouri",1,0
"2020-03-09","Nebraska",16,0
"2020-03-09","Nevada",4,0
"2020-03-09","New Hampshire",4,0
"2020-03-09","New Jersey",11,0
"2020-03-09","New York",142,0
"2020-03-09","North Carolina",7,0
"2020-03-09","Ohio",3,0
"2020-03-09","Oklahoma",1,0
"2020-03-09","Oregon",13,0
"2020-03-09","Pennsylvania",10,0
"2020-03-09","Rhode Island",3,0
"2020-03-09","South Carolina",7,0
"2020-03-09","Tennessee",4,0
"2020-03-09","Texas",24,0
"2020-03-09","Utah",3,0
"2020-03-09","Vermont",1,0
"2020-03-09","Virginia",5,0
"2020-03-09","Washington",179,22
"2020-03-09","Wisconsin",2,0
"2020-03-10","Arizona",6,0
"2020-03-10","California",179,3
"2020-03-10","Colorado",17,0
"2020-03-10","Connecticut",2,0
"2020-03-10","District of Columbia",4,0
"2020-03-10","Florida",23,2
"2020-03-10","Georgia",22,0
"2020-03-10","Hawaii",2,0
"2020-03-10","Illinois",19,0
"2020-03-10","Indiana",6,0
"2020-03-10","Iowa",13,0
"2020-03-10","Kansas",1,0
"2020-03-10","Kentucky",7,0
"2020-03-10","Louisiana",6,0
"2020-03-10","Maryland",9,0
"2020-03-10","Massachusetts",92,0
"2020-03-10","Michigan",2,0
"2020-03-10","Minnesota",3,0
"2020-03-10","Missouri",1,0
"2020-03-10","Nebraska",17,0
"2020-03-10","Nevada",4,0
"2020-03-10","New Hampshire",5,0
"2020-03-10","New Jersey",15,1
"2020-03-10","New York",173,0
"2020-03-10","North Carolina",7,0
"2020-03-10","Ohio",3,0
"2020-03-10","Oklahoma",2,0
"2020-03-10","Oregon",14,0
"2020-03-10","Pennsylvania",12,0
"2020-03-10","Rhode Island",5,0
"2020-03-10","South Carolina",9,0
"2020-03-10","South Dakota",5,1
"2020-03-10","Tennessee",7,0
"2020-03-10","Texas",31,0
"2020-03-10","Utah",4,0
"2020-03-10","Vermont",1,0
"2020-03-10","Virginia",8,0
"2020-03-10","Washington",279,24
"2020-03-10","Wisconsin",3,0
"2020-03-11","Arizona",9,0
"2020-03-11","Arkansas",1,0
"2020-03-11","California",202,4
"2020-03-11","Colorado",34,0
"2020-03-11","Connecticut",3,0
"2020-03-11","Delaware",1,0
"2020-03-11","District of Columbia",10,0
"2020-03-11","Florida",26,2
"2020-03-11","Georgia",31,0
"2020-03-11","Hawaii",2,0
"2020-03-11","Illinois",25,0
"2020-03-11","Indiana",11,0
"2020-03-11","Iowa",14,0
"2020-03-11","Kansas",1,0
"2020-03-11","Kentucky",7,0
"2020-03-11","Louisiana",13,0
"2020-03-11","Maryland",13,0
"2020-03-11","Massachusetts",95,0
"2020-03-11","Michigan",2,0
"2020-03-11","Minnesota",5,0
"2020-03-11","Mississippi",1,0
"2020-03-11","Missouri",1,0
"2020-03-11","Nebraska",23,0
"2020-03-11","Nevada",7,0
"2020-03-11","New Hampshire",5,0
"2020-03-11","New Jersey",23,1
"2020-03-11","New Mexico",4,0
"2020-03-11","New York",217,0
"2020-03-11","North Carolina",8,0
"2020-03-11","North Dakota",1,0
"2020-03-11","Ohio",4,0
"2020-03-11","Oklahoma",2,0
"2020-03-11","Oregon",20,0
"2020-03-11","Pennsylvania",16,0
"2020-03-11","Rhode Island",5,0
"2020-03-11","South Carolina",10,0
"2020-03-11","South Dakota",8,1
"2020-03-11","Tennessee",8,0
"2020-03-11","Texas",33,0
"2020-03-11","Utah",5,0
"2020-03-11","Vermont",2,0
"2020-03-11","Virginia",10,0
"2020-03-11","Washington",338,29
"2020-03-11","Wisconsin",6,0
"2020-03-11","Wyoming",1,0
"2020-03-12","Alaska",1,0
"2020-03-12","Arizona",9,0
"2020-03-12","Arkansas",6,0
"2020-03-12","California",252,4
"2020-03-12","Colorado",49,1
"2020-03-12","Connecticut",6,0
"2020-03-12","Delaware",4,0
"2020-03-12","District of Columbia",10,0
"2020-03-12","Florida",46,2
"2020-03-12","Georgia",31,1
"2020-03-12","Hawaii",2,0
"2020-03-12","Illinois",32,0
"2020-03-12","Indiana",12,0
"2020-03-12","Iowa",16,0
"2020-03-12","Kansas",5,1
"2020-03-12","Kentucky",11,0
"2020-03-12","Louisiana",14,0
"2020-03-12","Maine",1,0
"2020-03-12","Maryland",13,0
"2020-03-12","Massachusetts",108,0
"2020-03-12","Michigan",12,0
"2020-03-12","Minnesota",9,0
"2020-03-12","Mississippi",1,0
"2020-03-12","Missouri",2,0
"2020-03-12","Nebraska",24,0
"2020-03-12","Nevada",11,0
"2020-03-12","New Hampshire",6,0
"2020-03-12","New Jersey",29,1
"2020-03-12","New Mexico",6,0
"2020-03-12","New York",326,0
"2020-03-12","North Carolina",16,0
"2020-03-12","North Dakota",1,0
"2020-03-12","Ohio",5,0
"2020-03-12","Oklahoma",2,0
"2020-03-12","Oregon",30,0
"2020-03-12","Pennsylvania",22,0
"2020-03-12","Rhode Island",5,0
"2020-03-12","South Carolina",12,0
"2020-03-12","South Dakota",8,1
"2020-03-12","Tennessee",18,0
"2020-03-12","Texas",41,0
"2020-03-12","Utah",7,0
"2020-03-12","Vermont",2,0
"2020-03-12","Virginia",17,0
"2020-03-12","Washington",419,32
"2020-03-12","Wisconsin",8,0
"2020-03-12","Wyoming",1,0
"2020-03-13","Alabama",6,0
"2020-03-13","Alaska",1,0
"2020-03-13","Arizona",9,0
"2020-03-13","Arkansas",7,0
"2020-03-13","California",320,5
"2020-03-13","Colorado",78,2
"2020-03-13","Connecticut",11,0
"2020-03-13","Delaware",4,0
"2020-03-13","District of Columbia",10,0
"2020-03-13","Florida",70,2
"2020-03-13","Georgia",41,1
"2020-03-13","Hawaii",2,0
"2020-03-13","Idaho",1,0
"2020-03-13","Illinois",46,0
"2020-03-13","Indiana",12,0
"2020-03-13","Iowa",17,0
"2020-03-13","Kansas",6,1
"2020-03-13","Kentucky",11,0
"2020-03-13","Louisiana",36,0
"2020-03-13","Maine",2,0
"2020-03-13","Maryland",18,0
"2020-03-13","Massachusetts",123,0
"2020-03-13","Michigan",25,0
"2020-03-13","Minnesota",14,0
"2020-03-13","Mississippi",6,0
"2020-03-13","Missouri",4,0
"2020-03-13","Montana",4,0
"2020-03-13","Nebraska",27,0
"2020-03-13","Nevada",19,0
"2020-03-13","New Hampshire",7,0
"2020-03-13","New Jersey",50,1
"2020-03-13","New Mexico",10,0
"2020-03-13","New York",421,0
"2020-03-13","North Carolina",18,0
"2020-03-13","North Dakota",1,0
"2020-03-13","Ohio",13,0
"2020-03-13","Oklahoma",3,0
"2020-03-13","Oregon",30,0
"2020-03-13","Pennsylvania",41,0
"2020-03-13","Puerto Rico",3,0
"2020-03-13","Rhode Island",20,0
"2020-03-13","South Carolina",13,0
"2020-03-13","South Dakota",9,1
"2020-03-13","Tennessee",26,0
"2020-03-13","Texas",58,0
"2020-03-13","Utah",7,0
"2020-03-13","Vermont",2,0
"2020-03-13","Virginia",30,0
"2020-03-13","Washington",511,37
"2020-03-13","Wisconsin",19,0
"2020-03-13","Wyoming",2,0
"2020-03-14","Alabama",12,0
"2020-03-14","Alaska",1,0
"2020-03-14","Arizona",12,0
"2020-03-14","Arkansas",9,0
"2020-03-14","California",381,5
"2020-03-14","Colorado",103,2
"2020-03-14","Connecticut",20,0
"2020-03-14","Delaware",4,0
"2020-03-14","District of Columbia",16,0
"2020-03-14","Florida",70,3
"2020-03-14","Georgia",65,1
"2020-03-14","Hawaii",4,0
"2020-03-14","Idaho",5,0
"2020-03-14","Illinois",66,0
"2020-03-14","Indiana",15,0
"2020-03-14","Iowa",18,0
"2020-03-14","Kansas",8,1
"2020-03-14","Kentucky",18,0
"2020-03-14","Louisiana",77,1
"2020-03-14","Maine",3,0
"2020-03-14","Maryland",27,0
"2020-03-14","Massachusetts",138,0
"2020-03-14","Michigan",33,0
"2020-03-14","Minnesota",21,0
"2020-03-14","Mississippi",6,0
"2020-03-14","Missouri",5,0
"2020-03-14","Montana",6,0
"2020-03-14","Nebraska",29,0
"2020-03-14","Nevada",21,0
"2020-03-14","New Hampshire",7,0
"2020-03-14","New Jersey",75,2
"2020-03-14","New Mexico",13,0
"2020-03-14","New York",610,2
"2020-03-14","North Carolina",25,0
"2020-03-14","North Dakota",1,0
"2020-03-14","Ohio",26,0
"2020-03-14","Oklahoma",4,0
"2020-03-14","Oregon",36,1
"2020-03-14","Pennsylvania",47,0
"2020-03-14","Puerto Rico",4,0
"2020-03-14","Rhode Island",20,0
"2020-03-14","South Carolina",19,0
"2020-03-14","South Dakota",9,1
"2020-03-14","Tennessee",32,0
"2020-03-14","Texas",69,0
"2020-03-14","Utah",21,0
"2020-03-14","Vermont",5,0
"2020-03-14","Virgin Islands",1,0
"2020-03-14","Virginia",42,1
"2020-03-14","Washington",609,40
"2020-03-14","Wisconsin",27,0
"2020-03-14","Wyoming",3,0
"2020-03-15","Alabama",23,0
"2020-03-15","Alaska",1,0
"2020-03-15","Arizona",13,0
"2020-03-15","Arkansas",16,0
"2020-03-15","California",478,6
"2020-03-15","Colorado",136,2
"2020-03-15","Connecticut",26,0
"2020-03-15","Delaware",7,0
"2020-03-15","District of Columbia",17,0
"2020-03-15","Florida",109,3
"2020-03-15","Georgia",97,1
"2020-03-15","Guam",3,0
"2020-03-15","Hawaii",7,0
"2020-03-15","Idaho",5,0
"2020-03-15","Illinois",94,0
"2020-03-15","Indiana",19,0
"2020-03-15","Iowa",22,0
"2020-03-15","Kansas",9,1
"2020-03-15","Kentucky",21,0
"2020-03-15","Louisiana",103,2
"2020-03-15","Maine",12,0
"2020-03-15","Maryland",32,0
"2020-03-15","Massachusetts",164,0
"2020-03-15","Michigan",53,0
"2020-03-15","Minnesota",35,0
"2020-03-15","Mississippi",10,0
"2020-03-15","Missouri",5,0
"2020-03-15","Montana",6,0
"2020-03-15","Nebraska",31,0
"2020-03-15","Nevada",26,0
"2020-03-15","New Hampshire",13,0
"2020-03-15","New Jersey",98,2
"2020-03-15","New Mexico",17,0
"2020-03-15","New York",732,6
"2020-03-15","North Carolina",32,0
"2020-03-15","North Dakota",1,0
"2020-03-15","Ohio",37,0
"2020-03-15","Oklahoma",8,0
"2020-03-15","Oregon",39,1
"2020-03-15","Pennsylvania",68,0
"2020-03-15","Puerto Rico",5,0
"2020-03-15","Rhode Island",20,0
"2020-03-15","South Carolina",28,0
"2020-03-15","South Dakota",9,1
"2020-03-15","Tennessee",39,0
"2020-03-15","Texas",80,0
"2020-03-15","Utah",29,0
"2020-03-15","Vermont",8,0
"2020-03-15","Virgin Islands",1,0
"2020-03-15","Virginia",45,1
"2020-03-15","Washington",675,42
"2020-03-15","Wisconsin",33,0
"2020-03-15","Wyoming",3,0
"2020-03-16","Alabama",29,0
"2020-03-16","Alaska",3,0
"2020-03-16","Arizona",18,0
"2020-03-16","Arkansas",22,0
"2020-03-16","California",588,11
"2020-03-16","Colorado",161,2
"2020-03-16","Connecticut",41,0
"2020-03-16","Delaware",8,0
"2020-03-16","District of Columbia",22,0
"2020-03-16","Florida",141,4
"2020-03-16","Georgia",118,1
"2020-03-16","Guam",3,0
"2020-03-16","Hawaii",10,0
"2020-03-16","Idaho",5,0
"2020-03-16","Illinois",104,0
"2020-03-16","Indiana",24,1
"2020-03-16","Iowa",22,0
"2020-03-16","Kansas",11,1
"2020-03-16","Kentucky",22,1
"2020-03-16","Louisiana",137,3
"2020-03-16","Maine",17,0
"2020-03-16","Maryland",39,0
"2020-03-16","Massachusetts",197,0
"2020-03-16","Michigan",54,0
"2020-03-16","Minnesota",54,0
"2020-03-16","Mississippi",12,0
"2020-03-16","Missouri",9,0
"2020-03-16","Montana",8,0
"2020-03-16","Nebraska",33,0
"2020-03-16","Nevada",45,1
"2020-03-16","New Hampshire",17,0
"2020-03-16","New Jersey",176,3
"2020-03-16","New Mexico",21,0
"2020-03-16","New York",950,10
"2020-03-16","North Carolina",34,0
"2020-03-16","North Dakota",1,0
"2020-03-16","Ohio",50,0
"2020-03-16","Oklahoma",10,0
"2020-03-16","Oregon",46,1
"2020-03-16","Pennsylvania",81,0
"2020-03-16","Puerto Rico",5,0
"2020-03-16","Rhode Island",21,0
"2020-03-16","South Carolina",33,1
"2020-03-16","South Dakota",10,1
"2020-03-16","Tennessee",52,0
"2020-03-16","Texas",87,1
"2020-03-16","Utah",40,0
"2020-03-16","Vermont",12,0
"2020-03-16","Virgin Islands",2,0
"2020-03-16","Virginia",51,1
"2020-03-16","Washington",794,48
"2020-03-16","Wisconsin",47,0
"2020-03-16","Wyoming",10,0
"2020-03-17","Alabama",39,0
"2020-03-17","Alaska",6,0
"2020-03-17","Arizona",20,0
"2020-03-17","Arkansas",22,0
"2020-03-17","California",732,14
"2020-03-17","Colorado",183,3
"2020-03-17","Connecticut",68,0
"2020-03-17","Delaware",16,0
"2020-03-17","District of Columbia",31,0
"2020-03-17","Florida",210,6
"2020-03-17","Georgia",142,1
"2020-03-17","Guam",3,0
"2020-03-17","Hawaii",14,0
"2020-03-17","Idaho",9,0
"2020-03-17","Illinois",159,1
"2020-03-17","Indiana",30,2
"2020-03-17","Iowa",29,0
